άδικη	a ð i c i
άκησ	a c i s
άκουγα	a k u ɣ a
άκουσα	a k u s a
άνδρου	a n ð ɾ u
άνθρωποσ	a n θ ɾ o p o s
άντε	a d e
άρον	a r o n
έβαλα	e v a l a
έβαλε	e v a l e
έγγραφο	e ŋ ɣ r a f o
έζησαν	e z i s a n
έθνοσ	e θ n o s
έκθεση	e k θ e s i
έκπληξη	e k p l i k s i
έλληνα	e l i n a
έλληνεσ	e l i n e s
έναντι	e n a n d i
έντερο	e n d e ɾ o
έντρομη	e n d ɾ o m i
έπρεπε	e p ɾ e p e
έτοιμοσ	e t i m o s
έτοσ	e t o s
έφτιαξα	e f t ç a k s a
έχασα	e x a s a
έχομε	e x o m e
έχοντασ	e x o n d a s
έχουν	e x u n
ήδη	i ð i
ήμασταν	i m a s t a n
ήμαστε	i m a s t e
ήμουν	i m u n
ήσαν	i s a n
ήταν	i t a n
ήτανε	i t a n e
ήττα	i t a
ίδιοσ	i ð ʝ o s
ίσωσ	i s o s
αίγυπτοσ	e ʝ i p t o s
αίθουσα	e θ u s a
αίσθημα	e s θ i m a
αίτηση	e t i s i
αβανγκάρντ	a v a ŋ ɡ a ɾ d
αγίασ	a ʝ i a s
αγίου	a ʝ i u
αγίουσ	a ʝ i u s
αγανακτώ	a ɣ a n a k t o
αγαπάω	a ɣ a p a o
αγαπημένα	a ɣ a p i m e n a
αγαπημένο	a ɣ a p i m e n o
αγαπημένουσ	a ɣ a p i m e n u s
αγαπώ	a ɣ a p o
αγγελούδια	a ŋ ɟ e l u ð ʝ a
αγορά	a ɣ o r a
αγοράσ	a ɣ o r a s
αγορών	a ɣ o r o n
αγωνία	a ɣ o n i a
αγωνιστών	a ɣ o n i s t o n
αδελφή	a ð e l f i
αδελφόσ	a ð e l f o s
αδρεναλίνη	a ð ɾ e n a l i n i
αεροδρόμιο	a e ɾ o ð ɾ o m i o
αθηναίοσ	a θ i n e o s
αισθάνομαι	e s θ a n o m e
αιτία	e t i a
ακούστηκε	a k u s t i k e
ακρίβεια	a k r i v i a
ακύρωσησ	a c i ɾ o s i s
αλήθεια	a l i θ ç a
αλεξανδρούπολη	a l e k s a n ð ɾ u p o l i
αλευρωμένο	a l e v r o m e n o
αλλαγή	a l a ʝ i
αλλού	a l u
αλυσίδα	a l i s i ð a
αμάθεια	a m a θ i a
αμερική	a m e r i c i
αμοιβή	a m i v i
αμφιβάλλω	a ɱ f i v a l o
αμφιθέατρο	a m f i θ e a t ɾ o
ανάγκεσ	a n a ŋ ɟ e s
ανάγκη	a n a ŋ ɟ i
ανάδοχοσ	a n a ð o x o s
ανάλυση	a n a l i s i
αναγκών	a n a ŋ ɡ o n
αναισθησία	a n e s θ i s i a
ανακάλυψα	a n a k a l i p s a
ανακάλυψη	a n a k a l i p s i
ανακαλύψεισ	a n a k a l i p s i s
αναλυτικά	a n a l i t i k a
ανανά	a n a n a
αναπνοή	a n a p n o i
ανατράπηκε	a n a t ɾ a p i c e
αναφέρομαι	a n a f e ɾ o m e
αναφέρω	a n a f e ɾ o
αναφορά	a n a f o ɾ a
ανελκυστήρασ	a n e l c i s t i ɾ a s
ανησυχώ	a n i s i x o
αντίδραση	a n d i ð ɾ a s i
αντίνοοσ	a n d i n o o s
αντιδράσεισ	a n d i ð ɾ a s i s
αντικείμενο	a n d i c i m e n o
αξίζει	a k s i z i
αξιολόγηση	a k s i o l o ʝ i s i
απ	a p
απάντηση	a p a n d i s i
απέδειξε	a p e ð i k s e
απαιτούμε	a p e t u m e
απαλλαγή	a p a l a ʝ i
απαράδεκτοσ	a p a ɾ a ð e k t o s
απαρηγόρητα	a p a ɾ i ɣ o ɾ i t a
απελπισία	a p e l p i s i a
απλούσ	a p l u s
αποδείχθηκαν	a p o ð i x θ i k a n
αποδείχτηκε	a p o ð i x t i c e
αποκάλυψη	a p o k a l i p s i
αποκαλύψεισ	a p o k a l i p s i s
αποκλεισμένοσ	a p o k l i z m e n o s
απομονωμένο	a p o m o n o m e n o
αποστάσεισ	a p o s t a s i s
αποστολή	a p o s t o l i
αποτυχία	a p o t i ç i a
απρίλη	a p ɾ i l i
απρίλιοσ	a p ɾ i l i o s
απριλίου	a p ɾ i l i u
απόγευμα	a p o ʝ e v m a
απόφαση	a p o f a s i
απώλεια	a p o l i a
αρετή	a r e t i
αρετών	a r e t o n
αρμοδιότητα	a ɾ m o ð i o t i t a
αρρωστημένη	a r o s t i m e n i
αρχίζω	a r ç i z o
αρχηγόσ	a ɾ ç i ɣ o s
ασκώ	a s k o
αστυνομία	a s t i n o m i a
αυγούστου	a v ɣ u s t u
αυτή	a f t i
αυτί	a f t i
αυτό	a f t o
αυτόσ	a f t o s
αφορά	a f o r a
αφορμή	a f o ɾ m i
αφορούσε	a f o r u s e
αύγουστοσ	a v ɣ u s t o s
βάζεισ	v a z i s
βάζοντασ	v a z o n d a s
βάλει	v a l i
βάλεισ	v a l i s
βάλουμε	v a l u m e
βάλω	v a l o
βάροσ	v a r o s
βαθιά	v a θ ç a
βασίλισσα	v a s i l i s a
βασιλέασ	v a s i l e a s
βασιλιάσ	v a s i ʎ a s
βασιλική	v a s i l i c i
βεβαίωσ	v e v e o s
βερολίνο	v e r o l i n o
βιβλιοθήκη	v i v l i o θ i c i
βοήθησα	v o i θ i s a
βοηθάμε	v o i̯ θ a m e
βοηθούμε	v o i θ u m e
βουλευτήσ	v u l e f t i s
βούληση	v u l i s i
βούλιαξα	v u ʎ a k s a
βράδυ	v r a ð i
βρήκα	v ɾ i k a
βρήκαν	v ɾ i k a n
βρήκε	v ɾ i c e
βρίσκω	v ɾ i s k o
βραχυκύκλωμα	v ɾ a ç i c i k l o m a
βρει	v ɾ i
βρετανία	v r e t a n i a
βρούμε	v ɾ u m e
γέφυρα	ʝ e f i r a
γήπεδο	ʝ i p e ð o
γεγονόσ	ʝ e ɣ o n o s
γεια	ʝ a
γενάρη	ʝ e n a ɾ i
γεννήθηκα	ʝ e n i θ i k a
γεννημένοσ	ʝ e n i m e n o s
γενοκτονία	ʝ e n o k t o n i a
γιάννησ	ʝ a n i s
γιατί	ʝ a t i
γιατρόσ	ʝ a t r o s
γιορτή	ʝ o r t i
γιοσ	ʝ o s
γκέι	ɟ e i
γκρίζο	ɡ ɾ i z o
γλώσσα	ɣ l o s a
γνωρίζω	ɣ n o ɾ i z o
γνώσεισ	ɣ n o s i s
γνώσεωσ	ɣ n o s e o s
γνώση	ɣ n o s i
γριά	ɣ ɾ i a
γύροσ	ʝ i r o s
δέχομαι	ð e x o m e
δείγμα	ð i ɣ m a
δεη	ð e i
δεκέμβριο	ð e c e ɱ v ɾ i o
δεκαπέντε	ð e k a p e n d e
δεκατέσσερισ	ð e k a t e s e ɾ i s
δεκεμβρίου	ð e c e ɱ v ɾ i u
δεν	ð e n
δεύτεροσ	ð e f t e ɾ o s
δηλαδή	ð i l a ð i
δηλώσεισ	ð i l o s i s
δημήτρησ	ð i m i t ɾ i s
δημήτριοσ	ð i m i t ɾ i o s
δημοκρατία	ð i m o k r a t i a
δημοσιεύουμε	ð i m o s i e v u m e
δημοτική	ð i m o t i c i
διαβάζω	ð ʝ a v a z o
διανομή	ð ʝ a n o m i
διανύουμε	ð i a n i u m e
διαφήμιση	ð i a f i m i s i
