abbandonato	a b b a n d o n a t o
abbia	a b b j a
abbiamo	a b b j a m o
abbonamento	a b b o n a m e n t o
accoglienza	a k k o ʎ ʎ ɛ n t͡s a
accompagnare	a k k o m p a ɲ ɲ a r e
accordo	a k k ɔ r d o
acqua	a k k w a
acquazzone	a k k w a t t͡s o n e
ad	a d
adesso	a d ɛ s s o
agenzia	a d͡ʒ e n t͡s i a
agli	a ʎ ʎ i
ai	a i
al	a l
albergo	a l b ɛ r ɡ o
alberto	a l b ɛ r t o
alessandra	a l e s s a n d r a
alghero	a l ɡ ɛ r o
alla	a l l a
allenatore	a l l e n a t o r e
allora	a l l o r a
almeno	a l m e n o
alternato	a l t e r n a t o
alto	a l t o
altra	a l t r a
altre	a l t r e
altri	a l t r i
altro	a l t r o
ambiente	a m b j ɛ n t e
america	a m ɛ r i k a
amici	a m i t͡ʃ i
amico	a m i k o
amministrazione	a m m i n i s t r a t t͡s j o n e
ampio	a m p j o
anatroccolo	a n a t r ɔ k k o l o
anche	a n k e
ancora	a n k o r a
andare	a n d a r e
animale	a n i m a l e
animazione	a n i m a t t͡s j o n e
anno	a n n o
aperto	a p ɛ r t o
apparecchio	a p p a r e k k j o
apparire	a p p a r i r e
appena	a p p e n a
aprile	a p r i l e
ara	a r a
arbitro	a r b i t r o
architettura	a r k i t e t t u r a
aritmetica	a r i t m ɛ t i k a
arrivare	a r r i v a r e
arrivo	a r r i v o
arsenico	a r s ɛ n i k o
articolo	a r t i k o l o
assegnato	a s s e ɲ ɲ a t o
assente	a s s ɛ n t e
assenza	a s s ɛ n t͡s a
assistere	a s s i s t e r e
attenzione	a t t e n t͡s j o n e
atto	a t t o
attore	a t t o r e
attuale	a t t u a l e
attualità	a t t u a l i t a
auto	a u̯ t o
autorevole	a u t o r e v o l e
autorità	a u̯ t o r i t a
avanti	a v a n t i
avere	a v e r e
aveva	a v e v o
avevo	a v e v o
avvio	a v v i o
azienda	a d͡z j ɛ n d a
badia	b a d i a
baleno	b a l e n o
ballo	b a l l o
banca	b a n k a
banda	b a n d a
bari	b a r i
basta	b a s t a
battere	b a t t e r e
befana	b e f a n a
bel	b ɛ l
bellezza	b e l l e t t͡s a
benissimo	b e n i s s i m o
beppe	b ɛ p p e
biglietto	b i ʎ ʎ e t t o
bolla	b o l l a
bologna	b o l o ɲ ɲ a
bordo	b o r d o
borse	b o r s e
braccio	b r a t t͡ʃ o
bruno	b r u n o
caccia	k a t t ʃ a
cadere	k a d e r e
calabria	k a l a b r j a
calcio	k a l t ʃ o
calcolato	k a l k o l a t o
cambiare	k a m b j a r e
cambio	k a m b j o
camera	k a m e r a
cammino	k a m m i n o
campagna	k a m p a ɲ ɲ a
campania	k a m p a n j a
campo	k a m p o
candidato	k a n d i d a t o
canzone	k a n t͡s o n e
capire	k a p i r e
capisce	k a p i ʃ ʃ e
capita	k a p i t a
capitale	k a p i t a l e
capito	k a p i t o
capo	k a p o
cappa	k a p p a
capri	k a p r i
carcere	k a r t ʃ e r e
cardinale	k a r d i n a l e
casinò	k a z i n ɔ
cassa	k a s s a
cattolico	k a t t o l i k o
cellulare	t͡ʃ e l l u l a r e
centimetro	t ʃ e n t i m e t r o
cento	t ʃ ɛ n t o
centrale	t ʃ e n t r a l e
centro	t ʃ ɛ n t r o
cerca	t͡ʃ e r k a
cercare	t ʃ e r k a r e
cerco	t͡ʃ e r k o
che	k e
chiaro	k j a r o
chiave	k j a v e
chiedere	k j ɛ d e r e
chiudere	k j u d e r e
chiuso	k j u z o
ci	t͡ʃ i
ciclo	t͡ʃ i k l o
circa	t ʃ i r k a
cittadino	t͡ʃ i t t a d i n o
città	t͡ʃ i t t a
ciò	t ʃ ɔ
coerenza	k o e r ɛ n t͡s a
cognato	k o ɲ ɲ a t o
colloquio	k o l l ɔ k w j o
colorado	k o l o r a d o
colore	k o l o r e
come	k o m e
commento	k o m m e n t o
compagnia	k o m p a ɲ i a
compagno	k o m p a ɲ o
compilazione	k o m p i l a t t͡s j o n e
completamente	k o m p l e t a m e n t e
complotto	k o m p l ɔ t t o
comprare	k o m p r a r e
computer	k o m p j u t e r
comunicazione	k o m u n i k a t t͡s j o n e
comunque	k o m u n k w e
con	k o n
condurre	k o n d u r r e
confermare	k o n f e r m a r e
confessione	k o n f e s s j o n e
confronto	k o n f r o n t o
connessione	k o n n e s s j o n e
consistente	k o n s i s t ɛ n t e
consorzio	k o n s ɔ r t s j o
conti	k o n t i
continuo	k o n t i n w o
conto	k o n t o
contrastare	k o n t r a s t a r e
contrastato	k o n t r a s t a t o
contratto	k o n t r a t t o
contro	k o n t r o
corona	k o r o n a
corruscare	k o r r u s k a r e
corsia	k o r s i a
cosenza	k o z ɛ n t s a
costituzionale	k o s t i t u t t͡s j o n a l e
costume	k o s t u m e
credo	k r e d o
crescita	k r e ʃ i t a
criterio	k r i t ɛ r j o
cui	k u j
culturale	k u l t u r a l e
curva	k u r v a
daffare	d a f f a r e
danneggiare	d a n n e d d͡ʒ a r e
danno	d a n n o
danza	d a n t͡s a
dare	d a r e
davanti	d a v a n t i
davvero	d a v v e r o
debito	d e b i t o
debole	d e b o l e
debutto	d e b u t t o
deciso	d e t͡ʃ i z o
definizione	d e f i n i t s j o n e
democratico	d e m o k r a t i k o
deporre	d e p o r r e
desiderio	d e z i d ɛ r j o
dettaglio	d e t t a ʎ ʎ o
deve	d ɛ v e
deviazione	d e v j a t t͡s j o n e
devono	d e v o n o
dicembre	d i t͡ʃ ɛ m b r e
dichiarato	d i k j a r a t o
dieci	d j ɛ t͡ʃ i
difesa	d i f e s a
dio	d i o
diretto	d i r ɛ t t o
direzione	d i r e t t s j o n e
disastro	d i z a s t r o
disco	d i s k o
discorso	d i s k o r s o
discussione	d i s k u s s j o n e
discutere	d i s k u t e r e
disegno	d i z e ɲ ɲ o
disposizione	d i s p o z i t t͡s j o n e
distanza	d i s t a n t͡s a
diventare	d i v e n t a r e
divieto	d i v j ɛ t o
divisione	d i v i z j o n e
dobbiamo	d o b b j a m o
dolore	d o l o r e
domanda	d o m a n d a
domani	d o m a n i
donna	d ɔ n n a
donne	d ɔ n n e
dopo	d o p o
dottrina	d o t t r i n a
dove	d o v e
dovuto	d o v u t o
droga	d r ɔ ɡ a
due	d u e
dunque	d u n k w e
durante	d u r a n t e
economista	e k o n o m i s t a
edizione	e d i t t͡s j o n e
efficiente	e f f i t͡ʃ ɛ n t e
elicottero	e l i k ɔ t t e r o
emilia	e m i l j a
energetica	e n e r d͡ʒ ɛ t i k a
energia	e n e r d͡ʒ i a
enrico	e n r i k o
epoca	ɛ p o k a
errore	e r r o r e
esecrare	e z e k r a r e
eseguire	e z e ɡ w i r e
esempio	e z ɛ m p j o
esperienza	e s p e r j ɛ n t͡s a
essere	ɛ s s e r e
estate	e s t a t e
eterno	e t ɛ r n o
euro	ɛ u̯ r o
europeo	e u r o p ɛ o
eurozona	ɛ u̯ r o d͡z ɔ n a
evitando	e v i t a n d o
fabbrica	f a b b r i k a
fabrizio	f a b r i t t s j o
faccia	f a t t͡ʃ a
faccio	f a t t ʃ o
facevano	f a t ʃ e v a n o
fallo	f a l l o
fanno	f a n n o
fantasia	f a n t a z i a
fare	f a r e
fascia	f a ʃ ʃ a
fascista	f a ʃ ʃ i s t a
fase	f a z e
fatica	f a t i k a
fatti	f a t t i
fatto	f a t t o
febbraio	f e b b r a j o
febbre	f ɛ b b r e
federale	f e d e r a l e
federazione	f e d e r a t t͡s j o n e
felice	f e l i t͡ʃ e
fenomeno	f e n ɔ m e n o
ferro	f ɛ r r o
festa	f ɛ s t a
fiducioso	f i d u t͡ʃ o z o
figli	f i ʎ ʎ i
figlia	f i ʎ ʎ a
figlio	f i ʎ ʎ o
figura	f i ɡ u r a
fila	f i l a
filtro	f i l t r o
finlandese	f i n l a n d e z e
firenze	f i r ɛ n t͡s e
fiscale	f i s k a l e
fisica	f i z i k a
fiume	f j u m e
flessione	f l e s s j o n e
fondo	f o n d o
fornitura	f o r n i t u r a
forte	f ɔ r t e
fortuna	f o r t u n a
forza	f ɔ r t͡s a
fretta	f r e t t a
friuli	f r i u l i
fronte	f r o n t e
fuga	f u ɡ a
fumetto	f u m e t t o
funerale	f u n e r a l e
funzione	f u n t s j o n e
fuori	f w ɔ r i
furto	f u r t o
futuro	f u t u r o
gatto	ɡ a t t o
gazebo	ɡ a d d͡z ɛ b o
genetico	d͡ʒ e n ɛ t i k o
gergo	d͡ʒ ɛ r ɡ o
gioco	d͡ʒ ɔ k o
giornalista	d͡ʒ o r n a l i s t a
giorni	d͡ʒ o r n i
giovane	d͡ʒ o v a n e
giovanni	d͡ʒ o v a n n i
giudice	d͡ʒ u d i t͡ʃ e
giudici	d͡ʒ u d i t͡ʃ i
giudiziario	d͡ʒ u d i t t͡s j a r j o
