abate	a b a t ɛ
abats	a b a t s
abi	a b i
aborts	a b o ɾ t s
abstrakcija	a b s t ɾ a k t s i j a
abstrakts	a b s t ɾ a k t s
abstraktums	a b s t ɾ a k t u m s
acs	a t s
adata	a d a t a
adenīns	a d ɛ n iː n s
administrators	a d m i n i s t ɾ a t o ɾ s
adrese	a d ɾ ɛ s ɛ
adīt	a d îː t
adīšana	a d îː ʃ a n a
agrs	a ɡ ɾ s
agrums	a ɡ ɾ u m s
aids	â j t s
airis	ā ī ɾ i s
aita	à j t a
aiz	à j s
aizgalds	à j z ɡ â l t s
aizmirst	à j z m ì ɾ s t
aizmārša	à i z m àː ɾ ʃ a
aizparīt	à j z p a ɾ îː t
aizstāvēt	a j s t āː v ɛ̂ː t
aizvakar	à j z v a k a r
aizvakardiena	à j z v a k a ɾ d ì ɛ n a
aka	a k a
akcents	a k t s ɛ n t s
akls	a k l s
aknas	a k n a s
akts	a k t s
akustika	a k u s t i k a
akustiķis	a k u s t i c i s
akvedukts	a k v ɛ d u k t s
albāniete	a l b āː n i ɛ t ɛ
albānija	a l b āː n i j a
albānis	a l b āː n i s
algebra	a l ɡ ɛ b ɾ a
alksnis	à l k s n i s
alnis	â l n i s
alumīnijs	a l u m iː n i j s
alus	a l u s
alva	ā l v a
amerika	a m ɛ ɾ i k a
amerikānis	a m ɛ ɾ i k āː n i s
amfībija	a m f īː b i j a
ananass	a n a n a s
andoriete	a n d o ɾ i ɛ t ɛ
anglija	ā ŋ ɡ l i j a
anglis	ā ŋ ɡ l i s
anglisks	ā ŋ ɡ l i s k s
antropoloģe	ā n t ɾ o p o l o ɟ ɛ
antropoloģija	ā n t ɾ o p o l o ɟ i j a
apart	a p â ɾ t
aparšana	a p a ɾ ʃ a n a
apavniece	a p a w n ì ɛ t s ɛ
apavnieks	a p a w n ì ɛ k s
apavs	a p a w s
apdārzs	a p d àː ɾ s
aplikācija	a p l i k aː t s i j a
apmainīt	a p m ā ī n îː t
apmainīšana	a p m ā ī n îː ʃ a n a
apmaiņa	a p m ā ī ɲ a
apostrofs	a p o s t ɾ oː f s
apse	a p s ɛ
apspriede	a p s p ɾ i ɛ̂ d ɛ
apvidus	a p v i d u s
apvienot	a p v i ɛ̂ n u ô t
apziņa	a p z i ɲ a
armija	a ɾ m i j a
art	â ɾ t
arvien	a ɾ v î ɛ n
asinis	a s i n i s
ass	a s
astere	a s t ɛ ɾ ɛ
astoņi	a s t u ô ɲ i
astronomisks	a s t ɾ o n oː m i s k s
atart	a t â ɾ t
atmiņa	a t m i ɲ a
atrast	a t ɾ a s t
atslēga	a t s l æ̂ː ɡ a
atstāstījums	a t s t āː s t īː j u m s
atstāstīt	a t s t âː s t îː t
atvasara	a t v a s a ɾ a
atvere	a t v ɛ ɾ ɛ
atvērt	a t v ɛ̄ː ɾ t
auglis	â w ɡ l i s
augsts	a û ɡ s t s
aukla	à w k l a
auksts	ā ū k s t s
auns	à w n s
aut	à w t
ašs	a ʃ
bagāts	b a ɡ āː t s
baigs	b a î ɡ s
bailes	b â j l ɛ s
balss	b à l s
baltkrievs	b a l t k ɾ ì e w s
balts	b ā l t s
baltums	b ā l t u m s
baznīca	b a z n ìː t s a
bebrs	b æ b ɾ s
berilijs	b e r i l i j s
bet	b ɛ t
biedre	b ì ɛ d ɾ ɛ
biedrs	b ì ɛ d r s
biezs	b ì ɛ s
bikses	b i k s ɛ s
blusa	b l u s a
blāvs	b l āː w s
blīvs	b l īː w s
brasls	b ɾ a s l s
brauciens	b r à w t s i ɛ n s
brazīlija	b ɾ a z īː l i j a
brilles	b ɾ ī l l ɛ s
brokastis	b ɾ ū ō k a s t i s
brālis	b r āː l i s
brīvs	b r īː w s
brūns	b ɾ ū n s
bulta	b ū l t a
bura	b u r a
burkāns	b ū ɾ k āː n s
burtnīca	b ū r t n ì t s a
buča	b u t ʃ a
bāls	b āː l s
bālums	b āː l u m s
bārda	b àː ɾ d a
bārdains	b àː ɾ d ā j n s
bārene	b àː ɾ ɛ n ɛ
bārenis	b àː ɾ ɛ n i s
bāris	b àː ɾ i s
bē	b ɛː
bēda	b æ̀ː d a
bērzs	b ǣː r s
bļoda	b ʎ ū ō d a
būt	b ûː t
cauna	t s a û n a
caur	t s ā ū ɾ
caurs	t s ā ū ɾ s
celis	t s ɛ l i s
celt	t s ɛ̂ l t
censties	t s ɛ̀ n s t i ɛ̂ s
cepetis	t s ɛ p ɛ t i s
cepeškrāsns	t s ɛ p ɛ ʃ k ɾ âː s n s
cepešpanna	t s ɛ p ɛ ʃ p a n n a
ceplis	t s ɛ p l i s
cept	t s ɛ p t
ceptuve	t s æ p t u v ɛ
cepums	t s æ p u m s
cerēt	t s ɛ ɾ ɛ̂ː t
ceļš	t s ɛ ʎ ʃ
ciet	t s i ɛ̂ t
ciets	t s i ɛ̂ t s
cilts	t s î l t s
cilvēks	t s ì l v æ̀ː k s
cimds	t s ì m t s
cipars	t s i p a r s
citronkoks	t s i t ɾ o n k ù o k s
cukurs	t s u k u ɾ s
cē	t s ɛː
cērijs	t s ɛ̄ː ɾ i j s
cēsis	t s ēː s i s
cūkgaļa	t s ūː k ɡ a ʎ a
dabūt	d a b ûː t
daile	d ā ī l ɛ
dalīt	d a l îː t
dancis	d ā n t s i s
darbs	d â r p s
darīt	d a r îː t
daudz	d ā ū d z
daudzi	d ā ū d z i
daugava	d à w ɡ a v a
daugavpils	d à w ɡ à w p i l s
degt	d e k t
dejot	d ɛ j u ô t
dieve	d ì ɛ v ɛ
direktore	d i ɾ ɛ k t oː ɾ ɛ
direktors	d i ɾ ɛ k t oː ɾ s
dobs	d u ô b s
dome	d ū ō m ɛ
dot	d u ô t
drakons	d ɾ a k oː n s
draugs	d r à w k s
drosme	d ɾ ù o s m e
drošs	d ɾ ù o ʃ
drāna	d r āː n a
drēgns	d r ǣː ɡ n s
drīkstēt	d ɾ ìː k s t ɛ̂ː t
dundurs	d ū n d u ɾ s
dusa	d u s a
dvielis	d v ī ē l i s
dvīne	d v ìː n ɛ
dvīnis	d v ìː n i s
dvīņi	d v ìː n i s
dzeltens	d z æ̀ l t æ n s
dzelzs	d z ɛ̀ l s
dzestrs	d z æ s t ɾ s
dzestrums	d z æ s t ɾ u m s
dzimte	d z ì m t ɛ
dzirdēt	d z ì ɾ d ɛ̂ː t
dzērve	d z ɛ̄ː ɾ v ɛ
dzīsla	d z îː s l a
dzīvnieks	d z î u n ì ɛ k s
dzīvs	d z îː w s
dārgs	d àː ɾ ɡ s
dārzs	d àː ɾ s
dē	d ɛː
