afganistan	a ʋ ɡ áː n i s t a n
akvarij	a k ʋ àː r i j
aleksander	a l ɛ k s àː n d ə r
alkohol	a l k ɔ x óː l
aluminij	a l u m ìː n i j
ameriški	a m ɛ́ː r i ʃ k i
ampak	á m p a k
anatomija	a n a t ɔ m íː j a
andrej	a n d r ɛ̀ː j
angel	àː n ɡ ɛ l
angleščina	a n ɡ l éː ʃ t͡ʃ i n a
anglež	a n ɡ l éː ʃ
anglija	áː n ɡ l i j a
apartma	a p a r t m áː
april	a p r íː l
armada	a r m áː d a
avgust	a ʋ ɡ úː s t
avto	áː ʋ t ɔ
avtobus	áː ʋ t ɔ b u s
bambus	b áː m b u s
banka	b áː n k a
barva	b áː r ʋ a
bas	b áː s
bati	b àː t i
beg	b éː k
bel	b èː ʋ
beograd	b éː ɔ ɡ r a t
beseda	b ɛ s éː d a
beton	b ɛ t óː n
bik	b í k
bistvo	b íː s t ʋ ɔ
biti	b ìː t i
blago	b l a ɡ óː
blato	b l àː t ɔ
blizu	b l ìː z u
bližje	b l íː ʒ j ɛ
boben	b óː b ə n
bodi	b òː d i
bodo	b óː d ɔ
bog	b óː k
bogastvo	b ɔ ɡ áː s t ʋ ɔ
boja	b óː j a
bojo	b óː j ɔ
bolezen	b ɔ l éː z ə n
bolečina	b ɔ l ɛ t͡ʃ ìː n a
bolgarka	b ɔ l ɡ áː r k a
bolj	b ɔ́ l
bolje	b óː l j ɛ
boljše	b óː l ʃ ɛ
boljši	b óː l ʃ i
bolnica	b óː l n i t͡s a
bolnik	b ɔ ʋ n ìː k
bom	b óː m
borza	b óː r z a
bosta	b óː s t a
boste	b óː s t ɛ
boš	b óː ʃ
bralnik	b r áː l n i k
branik	b r a n ìː k
brati	b r àː t i
brazda	b r àː z d a
brez	b r ɛ s
brlog	b ə r l ɔ́ k
brskati	b ə r s k a t i
bruto	b r úː t ɔ
carstvo	t͡s áː r s t ʋ ɔ
cel	t͡s éː ʋ
celo	t͡s ɛ l óː
cena	t͡s èː n a
cerkev	t͡s èː r k ə ʋ
cev	t͡s éː ʋ
cilj	t͡s íː l
da	d á
dajati	d a j àː t i
dalj	d á l
daljši	d áː l ʃ i
dar	d áː r
darilo	d a r ìː l ɔ
davek	d àː ʋ ə k
december	d ɛ t͡s ɛ̀ː m b ə r
dejanje	d ɛ j áː n j ɛ
dekle	d ɛ k l ɛ́
delati	d èː l a t i
delavec	d èː l a ʋ ə t͡s
demokracija	d ɛ m ɔ k r a t͡s íː j a
denar	d ɛ n àː r
deset	d ɛ s éː t
desetletje	d ɛ s ɛ t l éː t j ɛ
devet	d ɛ ʋ éː t
devica	d ɛ ʋ ìː t͡s a
dežela	d ɛ ʒ ɛ̀ː l a
dijak	d i j àː k
dirka	d íː r k a
dno	d n ɔ́
do	d ɔ
doba	d ɔ̀ː b a
dober	d òː b ə r
dobro	d ɔ̀ː b r ɔ
dobrodošel	d ɔ b r ɔ d ɔ̀ː ʃ ə ʋ
dogodek	d ɔ ɡ óː d ə k
dogovor	d ɔ ɡ ɔ́ː ʋ ɔ r
dolg	d ɔ́ː ʋ k
dolžina	d ɔ ʋ ʒ ìː n a
dom	d óː m
doma	d ɔ m áː
dovolj	d ɔ ʋ ɔ́ l
dovoljenje	d ɔ ʋ ɔ l j ɛ̀ː n j ɛ
doživeti	d ɔ ʒ i ʋ èː t i
dražji	d r áː ʒ j i
drevo	d r ɛ ʋ óː
drog	d r óː k
drug	d r úː k
družina	d r u ʒ ìː n a
država	d ə r ʒ áː ʋ a
duh	d úː x
dunaj	d ùː n a j
duša	d ùː ʃ a
dve	d ʋ éː
dvigniti	d ʋ ìː ɡ n i t i
ekologija	ɛ k ɔ l ɔ ɡ íː j a
ekonomist	ɛ k ɔ n ɔ m íː s t
ena	ɛ̀ː n a
enajst	ɛ n àː j s t
energija	ɛ n ɛ r ɡ íː j a
enota	ɛ n ɔ̀ː t a
fant	f á n t
februar	f éː b r u a r
file	f i l éː
filozof	f i l ɔ z óː f
finski	f íː n s k i
fižol	f i ʒ ɔ́ ʋ
fotograf	f ɔ t ɔ ɡ r áː f
fotografija	f ɔ t ɔ ɡ r a f íː j a
francija	f r àː n t͡s i j a
francoski	f r a n t͡s óː s k i
francosko	f r a n t͡s óː s k ɔ
general	ɡ ɛ n ɛ r áː l
geslo	ɡ ɛ̀ː s l ɔ
gibanje	ɡ ìː b a n j ɛ
glas	ɡ l áː s
glasba	ɡ l áː z b a
glasbenik	ɡ l áː z b ɛ n i k
gledališče	ɡ l ɛ d a l ìː ʃ t͡ʃ ɛ
gledati	ɡ l èː d a t i
globok	ɡ l ɔ b ɔ́ k
god	ɡ óː t
godba	ɡ óː d b a
gor	ɡ ɔ̀ː r
gorica	ɡ ɔ r ìː t͡s a
gospod	ɡ ɔ s p óː t
gospodična	ɡ ɔ s p ɔ d íː t͡ʃ n a
gosti	ɡ òː s t i
govor	ɡ ɔ́ː ʋ ɔ r
grad	ɡ r áː t
gradec	ɡ r áː d ə t͡s
grob	ɡ r ɔ́ p
grof	ɡ r ɔ́ f
grom	ɡ r ɔ́ m
grozdje	ɡ r òː z d j ɛ
grozljiv	ɡ r ɔ z l j ìː ʋ
gumb	ɡ úː m p
hip	x íː p
hiša	x ìː ʃ a
hladilnik	x l a d íː l n i k
hlače	x l àː t͡ʃ ɛ
hrana	x r àː n a
hrast	x r àː s t
hvala	x ʋ àː l a
hči	x t͡ʃ íː
igra	íː ɡ r a
igralec	i ɡ r áː l ə t͡s
igrati	i ɡ r àː t i
ime	i m éː
imeti	i m èː t i
indija	ìː n d i j a
inštitut	i n ʃ t i t úː t
irska	íː r s k a
isti	íː s t i
italija	i t àː l i j a
italijanski	i t a l i j áː n s k i
ivan	íː ʋ a n
iz	i s
izbira	i z b íː r a
izpeljati	i s p ɛ l j àː t i
izraz	i z r á s
jajce	j àː j t͡s ɛ
januar	j áː n u a r
javor	j àː ʋ ɔ r
jaz	j á s
jelka	j èː l k a
jezik	j ɛ̀ː z i k
jezus	j éː z u s
jože	j óː ʒ ɛ
junij	j ùː n i j
jurij	j ùː r i j
jutri	j úː t r i
jutro	j ùː t r ɔ
kadar	k á d a r
kakor	k á k ɔ r
kakovost	k a k ɔ̀ː ʋ ɔ s t
kamen	k àː m ə n
kapetan	k a p éː t a n
karel	k àː r ə l
karta	k áː r t a
kategorija	k a t ɛ ɡ ɔ r íː j a
kavčič	k áː ʋ t͡ʃ i t͡ʃ
kazen	k áː z ə n
kaznovati	k a z n ɔ ʋ àː t i
kašelj	k àː ʃ ə l
ki	k i
kis	k íː s
kit	k íː t
kitajka	k i t áː j k a
kjer	k j éː r
klavir	k l a ʋ íː r
klic	k l íː t͡s
klicati	k l ìː t͡s a t i
klobasa	k l ɔ b àː s a
kmalu	k m áː l u
kmet	k m ɛ́ t
kmetija	k m ɛ t íː j a
knez	k n éː s
knjiga	k n j ìː ɡ a
knjigarna	k n j i ɡ áː r n a
