abatem	a b a t e m
abil	a b i l
abile	a b i l e
aburi	a b u r i
accept	a k t͡ʃ e p t
aceste	a t͡ʃ e s t e
acestei	a t͡ʃ e s t e j
acestor	a t͡ʃ e s t o r
acestui	a t͡ʃ e s t u j
acoperi	a k o p e r i
acu	a k u
acum	a k u m
administrat	a d m i n i s t r a t
aduce	a d u t ʃ e
afli	a f l i
aici	a i t͡ʃʲ
ajunge	a ʒ u n d͡ʒ e
ajuns	a ʒ u n s
ajut	a ʒ u t
ajutor	a ʒ u t o r
albaneze	a l b a n e z e
alcool	a l k o o l
alcoolice	a l k o o l i t͡ʃ e
alege	a l e d͡ʒ e
ales	a l e s
alin	a l i n
alte	a l t e
alterat	a l t e r a t
america	a m e r i k a
amici	a m i t͡ʃʲ
amintesc	a m i n t e s k
aminti	a m i n t i
amintire	a m i n t i r e
amsterdam	a m s t e r d a m
analizam	a n a l i z a m
analizat	a n a l i z a t
anonime	a n o n i m e
anormalitate	a n o r m a l i t a t e
antarctica	a n t a r k t i k a
antonescu	a n t o n e s k u
apa	a p a
ape	a p e
apei	a p e j
apele	a p e l e
apelor	a p e l o r
aplicam	a p l i k a m
aplicat	a p l i k a t
aproape	a p r o̯ a p e
apropie	a p r o p j e
arate	a r a t e
arau	a r a w
argumentam	a r ɡ u m e n t a m
arme	a r m e
asta	a s t a
asupra	a s u p r a
atac	a t a k
ataca	a t a k a
atacam	a t a k a m
atacat	a t a k a t
autoritate	a u t o r i t a t e
avantaj	a v a n t a ʒ
aveam	a v e̯ a m
avem	a v e m
baba	b a b a
baco	b a k o
bag	b a ɡ
baia	b a j a
baie	b a j e
balcanic	b a l k a n i k
balena	b a l e n a
balta	b a l t a
banca	b a n k a
banda	b a n d a
barat	b a r a t
barba	b a r b a
basma	b a s m a
batem	b a t e m
bea	b e̯ a
beat	b e̯ a t
beau	b e̯ a w
benzi	b e n zʲ
benzina	b e n z i n a
bestialitate	b e s t i a l i t a t e
bicicleta	b i t͡ʃ i k l e t a
bogdan	b o ɡ d a n
boli	b o lʲ
bombe	b o m b e
botanica	b o t a n i k a
botez	b o t e z
brazilia	b r a z i l i a
buc	b u k
