កក្កដា	k ɑ ʔ k a ʔ ɗ aː
កង	k ɑː ŋ
កង់	k ɑ ŋ
កង្កែប	k ɑ ŋ k a e p
កញ្ជះ	k ɑ ɲ c ĕ ə h
កណ្ដឹង	k ɑ n ɗ ə ŋ
កណ្ដូប	k ɑ n ɗ o u p
កណ្ឌ	k a n
កត់	k ɑ t
កន្លែង	k ɑ n l a e ŋ
កន្សោម	k ɑ n s a o m
កប៉ាល់	k a ʔ p a l
កម្ពុជា	k a m p u c i ə
កម្ពោជិក	k ɑ m p oː c ɨ k
កម្ម	k a m
កម្មន្ត	k a m m ɑ n t a ʔ
កម្មាធិការ	k a m m aː tʰ i k aː
ករណី	k a ʔ r a ʔ n ə j
កលហ	k a ʔ l a ʔ h a ʔ
កសិករ	k a ʔ s e k ɑː
កសិដ្ឋាន	k a ʔ s ə t tʰ aː n
កាក់	k a ʔ
កាណាដា	k aː n aː ɗ aː
កាត	k aː t
កាត់	k a t
កាពិ	k aː p i ʔ
កាព្យ	k aː p
កាមីញ៉ុង	k aː m iː ɲ o ŋ
ការ	k aː
ការងារ	k aː ŋ i ə
ការបដិវត្តន៍	k aː p a ʔ ɗ e ʋ ŏ ə t
ការពារ	k aː p i ə
ការិយាល័យ	k aː r i j aː l a j
ការ៉េម	k aː r eː m
កាវ	k aː w
កាសែត	k aː s a e t
កាស៊ីណូ	k aː s iː n o u
កាហ្វេ	k aː f eː
កាំ	k a m
កាំភ្លើង	k a m p l əː ŋ
កិច្ច	k ə c
កិរិយាសព្ទ	k e r i j aː s a p
កុង	k o ŋ
កុន	k o n
កុម្ភៈ	k o m pʰ ĕ ə ʔ
កូកាកូឡា	k o u k aː k o u l aː
កូនស្រី	k o u n s r ə j
កូបាល	k o u ɓ aː l
កូម័រ	k o u m ɔ ə
កូឡាឡាំពួរ	k o u l aː l a m p u ə
កើត	k a ə t
កៀហ្ស៊ីស៊ីស្ថាន	k i ə z iː s iː s tʰ aː n
កែង	k a e ŋ
កែទំរង់	k a e t u m r ŭ ə ŋ
កែវ	k a e w
កែស	k a e h
កៃឡាត់	k a j l a t
កោរីល	k a o r iː l
កោះ	k ɑ h
កំញម	k ɑ m ɲ ɑː m
កំណត់	k ɑ m n ɑ t
កំណាញ់	k ɑ m n a ɲ
កំណារ	k ɑ m n aː
កំប្លោក	k ɑ m pʰ l a o k
កំផើម	k ɑ m pʰ a ə m
កំពស់	k ɑ m p ŭ ə h
កំរាល	k ɑ m r aː l
ក្ងោក	k ŋ a o k
ក្ដោង	k ɗ a o ŋ
ក្នុង	kʰ n o ŋ
ក្បាល	k ɓ aː l
ក្បួន	k ɓ u ə n
ក្មេងស្រី	kʰ m eː ŋ s r ə j
ក្រ	k r ɑː
ក្រចើល	k r ɑ c a ə l
ក្រញរ	k r ɑ ɲ ɑː
ក្រញាំ	k r ɑ ɲ a m
ក្រដាស	k r ɑ ɗ aː h
ក្រម	k r ɑ m
ក្រលៀន	k r ɑ l i ə n
ក្រវិល	k r ɑ ʋ ə l
ក្រសាន	k r ɑ s aː n
ក្រហម	k r ɑ h ɑː m
ក្រឡាហោម	k r ɑː l aː h a o m
ក្រាប	k r aː p
ក្រុកៗ	k r o k k r o k
ក្រុម	k r o m
ក្រូម	k r o u m
ក្រៀម	k r i ə m
ក្សត្រ	kʰ s a t
ក្សត្រិយ៍	kʰ s a t
ក្អាត់	k ʔ a t
ក្អែប	k ʔ a e p
ខនិជ	kʰ ɑ n ɨ c
ខាត់	kʰ a t
ខាំ	kʰ a m
ខិត	kʰ ə t
ខូវប៊	kʰ ə w ɓ ɔː
ខៀវ	kʰ i ə w
ខេត្ត	kʰ a e t
ខែ	kʰ a e
ខែក	kʰ a e k
ខ្ជាយ	kʰ c i ə j
ខ្ជិល	kʰ c ɨ l
ខ្ញម	k ɲ ɑː m
ខ្ញុំ	k ɲ o m
ខ្ទិះ	kʰ t i h
ខ្ទើយ	kʰ t əː j
ខ្នាយ	kʰ n aː j
ខ្នុរ	kʰ n o l
ខ្ពស់	k p ŭ ə h
ខ្មៅ	kʰ m a w
ខ្លះ	kʰ l a h
ខ្សៀវ	kʰ s i ə w
ខ្សោយ	kʰ s a o j
គង់	k ŭ ə ŋ
គណ	k ŭ ə n
គណនី	k ĕ ə ʔ n a ʔ n iː
គណិតវិទ្យា	k ĕ ə ʔ n e t a ʔ ʋ ɨ t j i ə
គន្ធរស	k ŏ ə n tʰ ĕ ə ʔ r ŭ ə h
គម្ពីរ	k u m p iː
គរុ	k ĕ ə ʔ r u ʔ
គហណសាល	k ĕ ə ʔ h a ʔ n a ʔ s aː l
គឺ	k ɨː
គុយបា	k u j ɓ aː
គុយវ៉ែត	k u j ʋ a e t
គុហា	k u h i ə
គូថ	k uː t
គូលែន	k uː l ɛː n
គេ	k eː
គែ	k ɛː
គោ	k oː
គោឃាតដ្ឋាន	k oː kʰ i ə t a t tʰ aː n
គំនិត	k u m n ɨ t
